epoch,hit@1,hit@10,hit@20,hit@50,mrr@1,mrr@10,mrr@20,mrr@50,ndcg@1,ndcg@10,ndcg@20,ndcg@50,precision@1,precision@10,precision@20,precision@50,recall@1,recall@10,recall@20,recall@50,train_loss,valid_score
27,0.0515,0.2826,0.3959,0.5674,0.0515,0.1103,0.1182,0.1237,0.0515,0.1505,0.1791,0.2133,0.0515,0.0283,0.0198,0.0113,0.0515,0.2826,0.3959,0.5674,2516.3375,0.1505
28,0.0545,0.2815,0.3983,0.5639,0.0545,0.1115,0.1196,0.125,0.0545,0.151,0.1806,0.2136,0.0545,0.0281,0.0199,0.0113,0.0545,0.2815,0.3983,0.5639,2512.6237,0.151
29,0.0517,0.2839,0.3975,0.568,0.0517,0.111,0.1189,0.1245,0.0517,0.1513,0.18,0.2141,0.0517,0.0284,0.0199,0.0114,0.0517,0.2839,0.3975,0.568,2508.6736,0.1513
30,0.0538,0.2849,0.3995,0.5695,0.0538,0.1121,0.1202,0.1257,0.0538,0.1524,0.1814,0.2153,0.0538,0.0285,0.02,0.0114,0.0538,0.2849,0.3995,0.5695,2505.3422,0.1524
31,0.0556,0.2854,0.4036,0.572,0.0556,0.1141,0.1223,0.1277,0.0556,0.154,0.1839,0.2174,0.0556,0.0285,0.0202,0.0114,0.0556,0.2854,0.4036,0.572,2501.4787,0.154
32,0.0566,0.2879,0.4043,0.5714,0.0566,0.1154,0.1234,0.1288,0.0566,0.1556,0.185,0.2182,0.0566,0.0288,0.0202,0.0114,0.0566,0.2879,0.4043,0.5714,2498.1573,0.1556
33,0.0578,0.2829,0.4028,0.5679,0.0578,0.1154,0.1237,0.1291,0.0578,0.1544,0.1847,0.2177,0.0578,0.0283,0.0201,0.0114,0.0578,0.2829,0.4028,0.5679,2495.0037,0.1544
34,0.0561,0.2884,0.4053,0.5752,0.0561,0.1147,0.1228,0.1282,0.0561,0.1551,0.1846,0.2183,0.0561,0.0288,0.0203,0.0115,0.0561,0.2884,0.4053,0.5752,2491.5781,0.1551
35,0.0565,0.2853,0.407,0.5679,0.0565,0.1153,0.1237,0.1288,0.0565,0.155,0.1856,0.2176,0.0565,0.0285,0.0203,0.0114,0.0565,0.2853,0.407,0.5679,2488.8678,0.155
36,0.0578,0.2876,0.4083,0.5709,0.0578,0.1153,0.1235,0.1287,0.0578,0.1553,0.1857,0.218,0.0578,0.0288,0.0204,0.0114,0.0578,0.2876,0.4083,0.5709,2485.9948,0.1553
37,0.0589,0.2909,0.4071,0.5724,0.0589,0.117,0.125,0.1304,0.0589,0.1574,0.1868,0.2197,0.0589,0.0291,0.0204,0.0114,0.0589,0.2909,0.4071,0.5724,2483.314,0.1574
38,0.0583,0.2897,0.4056,0.571,0.0583,0.1166,0.1247,0.1301,0.0583,0.1569,0.1863,0.2193,0.0583,0.029,0.0203,0.0114,0.0583,0.2897,0.4056,0.571,2480.1954,0.1569
39,0.0565,0.2894,0.4088,0.5747,0.0565,0.1156,0.1238,0.1292,0.0565,0.1561,0.1863,0.2193,0.0565,0.0289,0.0204,0.0115,0.0565,0.2894,0.4088,0.5747,2477.9344,0.1561
40,0.0591,0.2894,0.4065,0.5715,0.0591,0.1172,0.1252,0.1306,0.0591,0.1573,0.1868,0.2198,0.0591,0.0289,0.0203,0.0114,0.0591,0.2894,0.4065,0.5715,2475.3189,0.1573
41,0.0606,0.2882,0.4073,0.5738,0.0606,0.1189,0.1272,0.1326,0.0606,0.1585,0.1885,0.2217,0.0606,0.0288,0.0204,0.0115,0.0606,0.2882,0.4073,0.5738,2472.6547,0.1585
42,0.0606,0.2917,0.4119,0.5773,0.0606,0.1187,0.127,0.1323,0.0606,0.159,0.1893,0.2222,0.0606,0.0292,0.0206,0.0115,0.0606,0.2917,0.4119,0.5773,2470.9427,0.159
43,0.0598,0.2904,0.4118,0.5752,0.0598,0.1169,0.1252,0.1305,0.0598,0.1572,0.1878,0.2203,0.0598,0.029,0.0206,0.0115,0.0598,0.2904,0.4118,0.5752,2468.0743,0.1572
44,0.0598,0.2959,0.4167,0.576,0.0598,0.1195,0.1277,0.1328,0.0598,0.1606,0.1909,0.2226,0.0598,0.0296,0.0208,0.0115,0.0598,0.2959,0.4167,0.576,2465.8764,0.1606
45,0.0581,0.2924,0.4132,0.579,0.0581,0.1181,0.1264,0.1317,0.0581,0.1588,0.1893,0.2222,0.0581,0.0292,0.0207,0.0116,0.0581,0.2924,0.4132,0.579,2463.8087,0.1588
